Названия блюда,Категория,"Ингридиенты (разделитель "";"")",Способ приготовления 
Куринный суп,Суп,Курица;Картошка;Лук;Морковь;Растительное масло;Соль;Специи,"Курицу промойте, сложите в кастрюлю и залейте водой. Поставьте на огонь и доведите до кипения. Варите на небольшом огне 25-30 минут. Немного подсолите. Когда курица сварится извлеките её из бульона, немного остудите и отделите мясо от костей. Бульон процедите. Верните мясо в бульон и поставьте обратно на огонь. Доведите до кипения.;
Очищенный картофель нарежьте на небольшие кусочки и выложите в кипящий бульон. Варите картофель минут 15-20. За время варки картофель станет мягкий.;
Пока варится картофель займитесь овощной зажаркой. Лук и морковь очистите от кожуры и ополосните. Лук мелко нарежьте, а морковь натрите на крупной терке. на сковороду налейте немного растительного масла и обжарьте овощи на небольшом огне пару минут. Обжарьте все овощи еще 2-3 минуты и выложите поджарку в кастрюлю с супом.;
По вкусу добавьте в суп немного соли и специи. Проварите все вместе 1-2 минуты и снимите кастрюлю с огня. Суп готов! Приятного аппетита!"
Борщ,Суп,Свинина;Капуста;Картошка;Лук;Морковь;Помидоры;Свекла;Томатная паста;Лавровый лист;Соль;Специи;,"Свинину можно использовать любую часть. Но если варить свинину на кости, то бульон будет получаться более наваристый. Поместите свинину в холодную воду, доведите до кипения и варите 1-1,5 часа. При закипании снимайте пенку, которая будет появляться. Готовый бульон процедите. Мясо нарежьте на кусочки и верните в кастрюлю.;
Капусту нашинкуйте, а картофель нарежьте на кусочки.;
Выложите капусту и картофель в кастрюлю с кипящим бульоном и оставьте вариться минут на 15.;
В это время мелко нарежьте лук и натрите на терке морковь.;
Обжарьте лук и морковь в течение 4-5 минут на небольшом огне. Затем добавьте в зажарку нарезанные помидоры. Обжаривайте все вместе еще 3-4 минуты. За это время помидоры пустят сок и станут мягкие.;
Готовую зажарку выложите в кастрюлю.;
Отдельно обжарьте свеклу, натертую на терке. Добавьте к ней немного томатной пасты. Она придаст борщу небольшую кислинку и насыщенный цвет. На жарку свеклы уйдет еще минут 5-7. За время жарки она немного уменьшится в размере.;
Выложите обжаренную свеклу в кастрюлю. Добавьте лавровый лист. По вкусу добавьте немного соли и специи. Перемешайте, доведите до кипения и снимите с огня. Кипятить со свеклой борщ не надо. От этого он потеряет цвет. Готовый борщ накройте крышкой и оставьте постоять минут на 15-20, чтобы он немного настоялся.;
Готовый борщ подавайте украсив зеленью и добавьте ложечку сметаны. Приятного аппетита!;"
Солянка сборная,Суп,Ветчина;Копченая колбаса;Оливки;Корнишоны;Говядина;Копчености;Лук;Лавровый лист;Душистый перец;Соль;Лук;Томатная паста;Растительное масло;Сливочное масло;Лимон;Сметана;,"В кастрюлю выложите говядину на косточке и копченые ребрышки. Залейте водой, поставьте на сильный огонь и доведите до кипения, снимая пену.;
За 15 минут до готовности слегка посолите, добавьте лавровые листья и горошины душистого перца.;
Пока варится мясо, подготовьте все остальные ингредиенты. Ветчину можете заменить на другое мясо: карбонад, свиную шейку, вареную колбасу и т. д.;
Ветчину и копченую колбасу нарезать соломкой;
Корнишоны нарежьте соломкой. В солянку обычно добавляют соленые огурцы, но подойдут и маринованные. Если нет корнишонов, можете заменить их на обычные, понадобится 2 штуки.;
Из кастрюли выньте мясо. Луковицу, ребрышки, лавровый лист и перец выньте и выбросьте. Бульон процедите и верните на медленный огонь.;
Говядину охладите, отделите мясо от костей и нарежьте соломкой.;
В сковороду влейте 3 ст. л. бульона, выложите огурцы и потушите 5-7 минут. Переложите огурцы в кастрюлю с бульоном.;
Луковицу нарежьте мелкой соломкой. Для этого разрежьте луковицу пополам, каждую половину еще пополам. А четвертинки - соломкой.;
В сковороде разогрейте сливочное и растительное масло. Обжарьте лук, помешивая, до золотистого цвета.;
Добавьте томатную пасту. Перемешайте и жарьте все вместе еще 1 минуту.;
Верните в кастрюлю измельченную говядину и копчености. Добавьте оливки и по желанию 50 мл рассола от них. Варите солянку еще 15 минут на медленном огне .;
Суп перемешайте, посолите, поперчите по вкусу. Дайте солянке настояться под крышкой около 15 минут. Затем разлейте по тарелкам. В каждую тарелку добавьте ломтик лимона и зелень. Подавайте со сметаной. Приятного аппетита!;"
Сырный суп,Суп,Курица;Лук;Морковь;Картошка;Плавленый сыр;Растительное;Масло;Соль;,"Первым делом поставьте варить курицу. Для этого налейте в кастрюлю воду, обязательно хорошую, фильтрованную или бутилированную. Переложите в воду вымытую грудку и поставьте на огонь. Доведите до кипения, снимая пенку. Затем убавьте огонь, накройте крышкой и оставьте вариться на полчаса.;
Морковь вымойте и очистите от кожуры. Сполосните водой. Репчатый лук очистите от шелухи. Нарежьте лук мелкими кубиками, а морковь натрите на крупной терке.;
Налейте в сковороду растительное масло, немного разогрейте его и выложите морковь с луком. Обжаривайте их на небольшом огне около трех-пяти минут, до золотистого цвета.;
Картошку вымойте, очистите и нарежьте кубиками.;
Тем временем грудка сварилась, выньте ее и дайте немного остыть. А в бульон положите картошку. Нарежьте грудку на небольшие кусочки и отправьте ее вслед за картошкой. Посолите, но только совсем немного, сыр сам по себе очень соленый, лучше досолить после его добавления. Варите примерно 10 минут;
Добавьте в суп зажарку. Варите после закипания около 5 минут.;
Добавьте в суп плавленый сыр, перемешайте, добиваясь полного растворения сыра. Вот теперь суп можете пробовать и смело досаливать при необходимости.;
Доведите суп до кипения и выключите огонь. Пусть он немного постоит, минут 15, чтобы все составляющие подружились. Приятного аппетита!;"
Котлеты,Горячее,Фарш;Лук;Чеснок;Яйца;Хлеб;Соль;Мука;Перец;,"Измельчаем лук и чеснок с помощью кухонного комбайна или рубим ножом.;
Отправляем лук с чесноком в фарш, вбиваем одно яйцо.;
Хлеб замачиваем в молоке или воде и оставляем, пока максимально возможное количество жидкости не впитается. Разминаем размокший хлеб руками и отправляем в фарш.;
Солим по вкусу и добавляем специи. Перемешиваем ложкой или в комбайне.;
На среднем огне разогреваем сковородку с растительным маслом. Берем столовую ложку фарша и формируем котлеты, обваливая их в муке. Выкладываем на горячую сковородку и обжариваем с одной стороны до румяной корочки.; Переворачиваем котлеты, уменьшаем огонь и жарим с другой стороны.
Домашние котлеты из фарша готовы. Приятного аппетита!;"
Рассольник,Суп,Мясо;Морковь;Лук;Огурцы соленые;Крупа перловая;Картофель;Лук зеленый;Укроп;Лавровый лист;Чеснок;Масло растительное;Соль;Перец черный;,"Приготовить бульон. Для этого в кастрюлю отправить мясо, 1 морковь, 1 репчатый лук и налить 2 литра воды.;
Довести до кипения и снять пену. Убавить огонь до среднего и при закрытой крышке варить бульон 1,5 часа.;
Нарезать мелко оставшийся репчатый лук.;
Вторую морковь натереть на терке.;
Соленые огурцы нарезать небольшими кубиками.;
Разогреть сковороду, добавить 1 ст. ложку растительного масла и обжарить лук в течение 1 минуты.;
Затем добавить морковь.Тушить 5 минут.;
Выложить из сковороды в миску лук с морковью, в сковороду добавить 1 ст. ложку масла и нарезанные соленые огурцы, томить их на маленьком огне в течение.;
Через 1,5 часа из бульона вынуть все овощи и мясо, отделить мясо от костей и нарезать кубиками.;
Перловую крупу промыть и добавить в бульон, продолжать варить еще 20 минут.;
Затем в бульон добавить картофель, лавровый лист и варить 5 минут.Добавить лук и морковь.Отправить туда же огурцы.Варить 10 минут.;
Затем добавить соль, сахар, мелко нарезанный чеснок, молотый перец и подготовленное мясо.;
Варить рассольник еще 5 минут.;
Измельчить зелень.;
Выключить огонь и добавить в рассольник зелень. Дать супу настояться 15-20 минут и можно подавать к столу.Приятного аппетита!;"
Щи,Суп,Свинина;Капуста;Картофель;Морковь;Лук репчатый;Томатная паста;Масло растительное;Зелень;Лавровый лист;Чеснок;Перец молотый;Соль;,"Мясо вымыть, залить в кастрюле холодной водой. Поставить кастрюлю на огонь, довести воду до кипения, снять шумовкой пену.;
Уменьшить огонь до малого, накрыть кастрюлю крышкой. Варить бульон до готовности свинины (около часа). Отварное мясо затем можно вынуть, нарезать кусочками и добавить в суп.;
Пока варится мясо, подготовить овощи. Морковь очистить, натереть на крупной терке. Лук очистить и нарезать мелкими кубиками.;
Разогреть сковороду, налить растительное масло. В горячее масло выложить лук и морковь. Обжаривать овощи на среднем огне (пассеровать) 2-3 минуты.
Добавить томатную пасту.;
Перемешать и готовить овощи еще 5-7 минут, помешивая.;
Капусту нарезать квадратиками или соломкой.Картофель почистить, нарезать небольшим кубиком (произвольными кусочками).;
В бульон выложить капусту, картошку и довести до кипения.;
(Вместе с картофелем добавлять только зрелую капусту, молодую капусту следует класть в суп минут за 7 до окончания.;
Добавить в суп зажарку (пассеровку). Варить щи из свежей капусты при слабом кипении 15-20 минут.;
Зелень мелко нарезать.Чеснок (если используется) почистить, раздавить с солью.;
В конце приготовления супа добавить молотый перец, лавровый лист и, при желании, растертый чеснок с солью.;
Добавить зелень и снять кастрюлю с огня. Дать супу настояться минут 10-15.;
Подавать щи со сметаной. Приятного аппетита!;"
Лагман с курицей,Суп,Курица;Лук;Помидор;Морковь;Паста томатная;Спагети;Масло подсолнечное;Перец черный;Соль;,"Курицу вымыть, нарезать кусочками. На сковороде разогреваем масло, и обжариваем курицу в течении 10 мин.;
Лук нарезаем полукольцами и добавляем к курице. Обжариваем в течении 10 минут.;
Морковь нарезаем кубиками и отправляем к мясу и луку. Тушим 5 минут.;
Помидор обдать кипятком и снять кожицу. Нарезаем помидоры, добавляем к мясу с овощами. Также добавляем томатную пасту, перец, соль.;
Перемешиваем и тушим под закрытой крышкой 15 минут.;
Отвариваем спагети и перемешиваем с курицей с овощами.;"
Паста Карбонара,Горячее,Спагетти;Грудинка;Яйцо куриное;Желтки;Сыр пармезан;Масло сливочное;Масло оливковое;Чеснок;Соль;Перец черный;,"Нарезать грудинку мелкими кубиками.;
Разогреть сковороду, растопить 1 ст. ложку сливочного масла и отправить туда грудинку. Добавить 2 зубчика чеснока, предварительно раздавленных ножом. Грудинку обжаривать на маленьком огне 10 минут, из неё должен вытопиться жир, но она должна остаться мягкой. После обжаривания чеснок убрать.;
В кипящую воду добавляем 1 ст. ложку соли, 1 ст. ложку оливкового масла и спагетти. Варим так, как указано на упаковке спагетти, - важно соблюдать указанное время варки, чтобы сварить спагетти правильно.;
У трёх яиц отделить белки от желтков. Отправить в миску 3 желтка и одно яйцо с белком, посолить и поперчить (по 1 щепотке), хорошо взбить и добавить 2 ст. ложки натертого сыра.;
Готовые спагетти откинуть на дуршлаг, предварительно оставив 1,5 стакана воды, в которой они варились.;
Выключить огонь под сковородой с грудинкой, отправить туда спагетти, добавить 1 ст. ложку сливочного масла и вылить взбитые яйца с сыром.;
Все тщательно перемешать, постепенно добавить 1 стакан воды от спагетти и 2 ст. ложки сыра, постоянно перемешивая, чтобы яйца не свернулись.;
Распределить спагетти по тарелкам, сверху добавить грудинку, посыпать черным молотым перцем и тертым сыром. Паста карбонара готова.Приятного аппетита!;"
Плов с курицей,Горячее,Курица;Рис;Морковь;Чеснок;Лук;Соль;Перец черный;Зира;Приправа для плова;Масло растительное;,"Нарежем мясо кусочками, примерно 2х2 см. Обжарим до золотистого цвета, на сильном огне, в разогретом масле (курдючном жиру). Добавим луковицу, порезанную на кубики. Обжарим вместе.;
Добавляем морковь, нарезанную соломкой. Уменьшаем огонь и тушим до мягкости. Добавляем специи и соль.(Обязательно используем зиру, если ее нет в составе готовой приправы для плова.).Наливаем кипяток, чтобы вода покрывала мясо. Кладем головку чеснока, очищенную и промытую. Тушим зирвак (подливу) на среднем огне, до готовности мяса (для курицы – хватит 25-30 минут).;
Промываем рис до чистой воды, раскладываем поверх мяса и доливаем кипятка, примерно на 1 см выше риса. Плотно закрываем крышку, готовим 20 минут.;
Рассыпчатый плов с курицей готов. Перед подачей достаем чеснок, затем перемешиваем.Приятного аппетита!;"
Окрошка,Суп,Картофель;Огурцы;Яйца;Редиска;Колбаса вареная;Петрушка;Зеленый лук;Квас;,"Картофель (очищенный) и яйца нужно отварить (яйца сразу в холодную воду).;
Огурцы, редиску, лук и зелень мелко порезать, колбасу тоже пустить на кубики.;
Остывший картофель и яйца порезать тем же способом.;
Все это высыпать в кастрюлю и хорошо перемешать. Желательно, конечно, набить кастрюлю до самого верха. Я не заливаю окрошку сразу - так хранится дольше, и вообще, так удобнее.;
Итак. Я захотела порцию наивкуснейшей окрошечки. Для этого насыпаю в глубокую миску нашу заготовку и заливаю ее квасом/кефиром/айраном - на выбор. Добавляю в миску чайную ложку горчицы без горки.;
Приятного аппетита!;"
Жаркое по-деревенски,Горячее,,
Мясо запеченное с помидорами и сыром,Горячее,,
Гуляш со свининой,Горячее,,
Гнёзда из спагетти с фаршем,Горячее,,
Запеканка из макарон с курицей ,Горячее,,
Банановые оладьи ,Десерт ,Бананы;Яйца куриные;Мука;Кефир;Сахар;Ванилин;Сода;Соль;,"Почистить 2 банана и размять их. Добавить к бананам 3-4 яйца и перемешать до однородной массы. Следом добавить стакан кефира, щепотку соли и соды, ванилин и сахар всё это перемешать.;
Далее постепенно добавлять муку(примерно 1 стакан) и перемешивать до однородной массы.;
Разогреть сковороду, налить растительное масло, прогреть его немного и выпекать оладьи до золотистой корочки с двух сторон. Оладьи можно подавать с вареньем, сметаной или сиропом.;
Приятного аппетита!;                                                                                                     
"
Ленивый багет ,Закуски ,Багет;Сливочное масло;Сыр;Ветчина;Фиолетовый лук;,"Разогрейте духовку до 180-200 градусов.;
Багет нарежте ломтиками, не разрезая его до основания, и слегка расскройте. Смажьте ломтики маслом, проложите сыром, ветчиной и кольцами лука.;
Запекайте до тех пор, пока сыр не начнёт плавиться. Приятного аппетита!;                                                                                                                                         "
Гавайские тостики ,Закуски ,Хлеб для тостов;Ветчина;Сыр(пластиками);Консервированные ананасы;,"В форму для запекания выложить кусочки хлеба.;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
На хлеб выложить нарезанную ветчину. На ветчину сверху положить кусочки ананаса. Сверху накрыть пластиком сыра и поставить в духовку. Запекать при температуре 180 градусов до золотистого цвета(около 15+20 мин.);                                                                                                                                                                                               
Готовые тосты можно украсить помидорами черри или маслинами. Приятного аппетита!;"
